ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
483,20140128,20140209,20140204,11078,1,100,6,SO75084,1,1,1,120.0,120.0,0,0,44.88,44.88,120.0,9.6,3.0,,,41667,41679,41674
225,20140128,20140209,20140204,11927,1,100,1,SO75085,1,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,41667,41679,41674
484,20140128,20140209,20140204,11927,1,100,1,SO75085,2,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,,,41667,41679,41674
484,20140128,20140209,20140204,28789,1,100,4,SO75086,1,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,,,41667,41679,41674
214,20140128,20140209,20140204,11794,1,100,4,SO75087,1,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41667,41679,41674
529,20140128,20140209,20140204,14680,1,100,9,SO75088,1,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41667,41679,41674
539,20140128,20140209,20140204,14680,1,100,9,SO75088,2,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,41667,41679,41674
222,20140128,20140209,20140204,14680,1,100,9,SO75088,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41667,41679,41674
228,20140128,20140209,20140204,14680,1,100,9,SO75088,4,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,,,41667,41679,41674
538,20140128,20140209,20140204,19585,1,100,9,SO75089,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,41667,41679,41674
529,20140128,20140209,20140204,19585,1,100,9,SO75089,2,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41667,41679,41674
222,20140128,20140209,20140204,19585,1,100,9,SO75089,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41667,41679,41674
528,20140128,20140209,20140204,27686,1,100,9,SO75090,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41667,41679,41674
537,20140128,20140209,20140204,27686,1,100,9,SO75090,2,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,,41667,41679,41674
217,20140128,20140209,20140204,27686,1,100,9,SO75090,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41667,41679,41674
538,20140128,20140209,20140204,20601,1,100,9,SO75091,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,41667,41679,41674
529,20140128,20140209,20140204,20601,1,100,9,SO75091,2,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41667,41679,41674
487,20140128,20140209,20140204,20601,1,100,9,SO75091,3,1,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748,,,41667,41679,41674
538,20140128,20140209,20140204,26564,1,100,9,SO75092,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,41667,41679,41674
465,20140128,20140209,20140204,26564,1,100,9,SO75092,2,1,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123,,,41667,41679,41674
529,20140128,20140209,20140204,26564,1,100,9,SO75092,3,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41667,41679,41674
529,20140128,20140209,20140204,16170,1,100,9,SO75093,1,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41667,41679,41674
540,20140128,20140209,20140204,16170,1,100,9,SO75093,2,1,1,32.6,32.6,0,0,12.1924,12.1924,32.6,2.608,0.815,,,41667,41679,41674
483,20140128,20140209,20140204,16170,1,100,9,SO75093,3,1,1,120.0,120.0,0,0,44.88,44.88,120.0,9.6,3.0,,,41667,41679,41674
484,20140128,20140209,20140204,16927,1,100,9,SO75094,1,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,,,41667,41679,41674
488,20140128,20140209,20140204,11657,1,100,4,SO75095,1,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,,41667,41679,41674
529,20140128,20140209,20140204,11287,1,100,6,SO75096,1,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41667,41679,41674
222,20140128,20140209,20140204,11287,1,100,6,SO75096,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41667,41679,41674
237,20140128,20140209,20140204,11287,1,100,6,SO75096,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,,,41667,41679,41674
